# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
23,1669843430.2813463,73600,-1.062676191329956,1248.4625244140625,1.0626078844070435,1.5989395380020142,1.0647655725479126,1.653043508529663
24,1669843437.0638878,76800,-1.083971619606018,210.20913696289062,1.0626078844070435,1.5989395380020142,1.0647655725479126,1.653043508529663
25,1669843437.3774242,80000,-1.083971619606018,210.20913696289062,1.0626078844070435,1.5989395380020142,1.086639165878296,1.351298451423645
26,1669843439.314738,83200,-1.083971619606018,210.20913696289062,1.0941616296768188,1.569385051727295,1.086639165878296,1.351298451423645
27,1669843446.031283,86400,-1.1172411441802979,6124820.5,1.0941616296768188,1.569385051727295,1.086639165878296,1.351298451423645
28,1669843446.3544443,89600,-1.1172411441802979,6124820.5,1.0941616296768188,1.569385051727295,1.117387056350708,1.7974810600280762
29,1669843448.3627467,92800,-1.1172411441802979,6124820.5,1.1013134717941284,1.7242950201034546,1.117387056350708,1.7974810600280762
30,1669843454.978056,96000,-1.0983717441558838,12.958871841430664,1.1013134717941284,1.7242950201034546,1.117387056350708,1.7974810600280762
31,1669843455.504624,99200,-1.0983717441558838,12.958871841430664,1.1013134717941284,1.7242950201034546,1.0978606939315796,2.2692906856536865
32,1669843457.8210888,102400,-1.0983717441558838,12.958871841430664,1.0711665153503418,2.475013256072998,1.0978606939315796,2.2692906856536865
33,1669843464.012772,105600,-1.0147180557250977,3.5079991817474365,1.0711665153503418,2.475013256072998,1.0978606939315796,2.2692906856536865
34,1669843464.6524026,108800,-1.0147180557250977,3.5079991817474365,1.0711665153503418,2.475013256072998,1.0151865482330322,2.8030388355255127
35,1669843467.036551,112000,-1.0147180557250977,3.5079991817474365,1.0152360200881958,2.695199728012085,1.0151865482330322,2.8030388355255127
36,1669843473.0923011,115200,-1.0335603952407837,13343.5849609375,1.0152360200881958,2.695199728012085,1.0151865482330322,2.8030388355255127
37,1669843473.8119488,118400,-1.0335603952407837,13343.5849609375,1.0152360200881958,2.695199728012085,1.0386676788330078,1.4941511154174805
38,1669843476.6528077,121600,-1.0335603952407837,13343.5849609375,1.0282453298568726,1.3898677825927734,1.0386676788330078,1.4941511154174805
39,1669843482.4799337,124800,-1.0181323289871216,4.214577674865723,1.0282453298568726,1.3898677825927734,1.0386676788330078,1.4941511154174805
40,1669843483.1916323,128000,-1.0181323289871216,4.214577674865723,1.0282453298568726,1.3898677825927734,1.0158469676971436,1.592183232307434
41,1669843485.7338634,131200,-1.0181323289871216,4.214577674865723,1.0152019262313843,1.579131841659546,1.0158469676971436,1.592183232307434
42,1669843490.7599127,134400,-1.0223065614700317,2.944059371948242,1.0152019262313843,1.579131841659546,1.0158469676971436,1.592183232307434
43,1669843491.4681067,137600,-1.0223065614700317,2.944059371948242,1.0152019262313843,1.579131841659546,1.0258334875106812,2.3499040603637695
44,1669843494.219725,140800,-1.0223065614700317,2.944059371948242,1.0242894887924194,2.395479440689087,1.0258334875106812,2.3499040603637695
45,1669843499.422634,144000,-1.0291154384613037,34.50434112548828,1.0242894887924194,2.395479440689087,1.0258334875106812,2.3499040603637695
46,1669843500.1864588,147200,-1.0291154384613037,34.50434112548828,1.0242894887924194,2.395479440689087,1.0295218229293823,1.4983431100845337
47,1669843503.509121,150400,-1.0291154384613037,34.50434112548828,1.0293502807617188,1.2632756233215332,1.0295218229293823,1.4983431100845337
48,1669843508.3852534,153600,-1.0432534217834473,4.053395748138428,1.0293502807617188,1.2632756233215332,1.0295218229293823,1.4983431100845337
49,1669843509.0654287,156800,-1.0432534217834473,4.053395748138428,1.0293502807617188,1.2632756233215332,1.046550989151001,1.4414809942245483
50,1669843512.7584825,160000,-1.0432534217834473,4.053395748138428,1.0391016006469727,1.611287236213684,1.046550989151001,1.4414809942245483
51,1669843516.7315154,163200,-1.0371955633163452,1.7213599681854248,1.0391016006469727,1.611287236213684,1.046550989151001,1.4414809942245483
52,1669843517.6407087,166400,-1.0371955633163452,1.7213599681854248,1.0391016006469727,1.611287236213684,1.0407180786132812,1.5703670978546143
53,1669843521.2702823,169600,-1.0371955633163452,1.7213599681854248,1.032269835472107,1.677899718284607,1.0407180786132812,1.5703670978546143
54,1669843525.037121,172800,-1.0271406173706055,1.94277024269104,1.032269835472107,1.677899718284607,1.0407180786132812,1.5703670978546143
55,1669843526.1266747,176000,-1.0271406173706055,1.94277024269104,1.032269835472107,1.677899718284607,1.0280486345291138,1.662630558013916
56,1669843529.9097266,179200,-1.0271406173706055,1.94277024269104,1.013450264930725,1.6286637783050537,1.0280486345291138,1.662630558013916
57,1669843534.1087365,182400,-1.0081007480621338,4.199835300445557,1.013450264930725,1.6286637783050537,1.0280486345291138,1.662630558013916
58,1669843535.278616,185600,-1.0081007480621338,4.199835300445557,1.013450264930725,1.6286637783050537,1.0061644315719604,2.157527208328247
59,1669843538.97943,188800,-1.0081007480621338,4.199835300445557,1.0077183246612549,1.9186880588531494,1.0061644315719604,2.157527208328247
60,1669843542.5972788,192000,-1.014102816581726,1.6024919748306274,1.0077183246612549,1.9186880588531494,1.0061644315719604,2.157527208328247
61,1669843543.750337,195200,-1.014102816581726,1.6024919748306274,1.0077183246612549,1.9186880588531494,1.0156832933425903,0.7899922132492065
62,1669843547.5858111,198400,-1.014102816581726,1.6024919748306274,1.0152418613433838,0.6206098198890686,1.0156832933425903,0.7899922132492065
63,1669843551.7635815,201600,-1.0186271667480469,2373.963134765625,1.0152418613433838,0.6206098198890686,1.0156832933425903,0.7899922132492065
64,1669843552.7439673,204800,-1.0186271667480469,2373.963134765625,1.0152418613433838,0.6206098198890686,1.0209105014801025,0.508316695690155
65,1669843556.9480872,208000,-1.0186271667480469,2373.963134765625,1.0226010084152222,0.623219907283783,1.0209105014801025,0.508316695690155
66,1669843560.3056722,211200,-1.0292725563049316,6.56112003326416,1.0226010084152222,0.623219907283783,1.0209105014801025,0.508316695690155
67,1669843561.5408885,214400,-1.0292725563049316,6.56112003326416,1.0226010084152222,0.623219907283783,1.0308709144592285,1.0663816928863525
68,1669843565.8766038,217600,-1.0292725563049316,6.56112003326416,1.0197279453277588,1.9482967853546143,1.0308709144592285,1.0663816928863525
69,1669843568.717504,220800,-1.005507230758667,2.141740560531616,1.0197279453277588,1.9482967853546143,1.0308709144592285,1.0663816928863525
70,1669843570.3756845,224000,-1.005507230758667,2.141740560531616,1.0197279453277588,1.9482967853546143,1.0032241344451904,2.090653896331787
71,1669843575.0523267,227200,-1.005507230758667,2.141740560531616,0.9797903299331665,2.4927101135253906,1.0032241344451904,2.090653896331787
72,1669843577.5621233,230400,-0.9730110764503479,2.459217071533203,0.9797903299331665,2.4927101135253906,1.0032241344451904,2.090653896331787
73,1669843579.0464947,233600,-0.9730110764503479,2.459217071533203,0.9797903299331665,2.4927101135253906,0.9696257710456848,2.6124818325042725
74,1669843583.6852252,236800,-0.9730110764503479,2.459217071533203,0.9560040235519409,2.0481083393096924,0.9696257710456848,2.6124818325042725
75,1669843586.3803487,240000,-0.9420427680015564,2.7196667194366455,0.9560040235519409,2.0481083393096924,0.9696257710456848,2.6124818325042725
76,1669843588.209317,243200,-0.9420427680015564,2.7196667194366455,0.9560040235519409,2.0481083393096924,0.9429158568382263,2.916887044906616
77,1669843593.18255,246400,-0.9420427680015564,2.7196667194366455,0.9411399960517883,2.5495212078094482,0.9429158568382263,2.916887044906616
78,1669843594.9148502,249600,-0.9404606819152832,1.7318856716156006,0.9411399960517883,2.5495212078094482,0.9429158568382263,2.916887044906616
79,1669843596.561243,252800,-0.9404606819152832,1.7318856716156006,0.9411399960517883,2.5495212078094482,0.9450300931930542,1.307242751121521
80,1669843601.9055388,256000,-0.9404606819152832,1.7318856716156006,0.9468684792518616,0.8677052855491638,0.9450300931930542,1.307242751121521
81,1669843603.8764818,259200,-0.9492971301078796,0.3791784942150116,0.9468684792518616,0.8677052855491638,0.9450300931930542,1.307242751121521
82,1669843605.6729865,262400,-0.9492971301078796,0.3791784942150116,0.9468684792518616,0.8677052855491638,0.9541361927986145,0.6704773306846619
83,1669843611.058044,265600,-0.9492971301078796,0.3791784942150116,0.9559914469718933,0.7224307060241699,0.9541361927986145,0.6704773306846619
84,1669843612.393065,268800,-0.9583476185798645,325.0447998046875,0.9559914469718933,0.7224307060241699,0.9541361927986145,0.6704773306846619
85,1669843614.2111475,272000,-0.9583476185798645,325.0447998046875,0.9559914469718933,0.7224307060241699,0.9629349708557129,0.7736536860466003
86,1669843619.7116919,275200,-0.9583476185798645,325.0447998046875,0.9662826657295227,1.4470205307006836,0.9629349708557129,0.7736536860466003
87,1669843621.461167,278400,-0.9688270688056946,2.7684593200683594,0.9662826657295227,1.4470205307006836,0.9629349708557129,0.7736536860466003
88,1669843623.2715073,281600,-0.9688270688056946,2.7684593200683594,0.9662826657295227,1.4470205307006836,0.9724034667015076,1.6129953861236572
89,1669843628.438184,284800,-0.9688270688056946,2.7684593200683594,0.9698828458786011,1.9078023433685303,0.9724034667015076,1.6129953861236572
90,1669843629.699303,288000,-0.9713329076766968,2.3052589893341064,0.9698828458786011,1.9078023433685303,0.9724034667015076,1.6129953861236572
91,1669843631.5029106,291200,-0.9713329076766968,2.3052589893341064,0.9698828458786011,1.9078023433685303,0.9764634966850281,2.135244131088257
92,1669843637.3460784,294400,-0.9713329076766968,2.3052589893341064,0.9792450666427612,1.6777081489562988,0.9764634966850281,2.135244131088257
93,1669843638.5232468,297600,-0.9800880551338196,2.08176851272583,0.9792450666427612,1.6777081489562988,0.9764634966850281,2.135244131088257
94,1669843640.4361951,300800,-0.9800880551338196,2.08176851272583,0.9792450666427612,1.6777081489562988,0.9844968318939209,1.4260386228561401
95,1669843646.1424918,304000,-0.9800880551338196,2.08176851272583,0.9876142740249634,1.0015149116516113,0.9844968318939209,1.4260386228561401
96,1669843647.3089726,307200,-0.9893232583999634,1.3180657625198364,0.9876142740249634,1.0015149116516113,0.9844968318939209,1.4260386228561401
97,1669843649.1840792,310400,-0.9893232583999634,1.3180657625198364,0.9876142740249634,1.0015149116516113,0.9921292662620544,0.9081242084503174
98,1669843655.225598,313600,-0.9893232583999634,1.3180657625198364,0.9752819538116455,2.0609283447265625,0.9921292662620544,0.9081242084503174
99,1669843655.926253,316800,-0.9734508395195007,2.0490787029266357,0.9752819538116455,2.0609283447265625,0.9921292662620544,0.9081242084503174
100,1669843658.0637488,320000,-0.9734508395195007,2.0490787029266357,0.9752819538116455,2.0609283447265625,0.9686732888221741,2.6145427227020264
101,1669843663.9903054,323200,-0.9734508395195007,2.0490787029266357,0.950322687625885,2.5356204509735107,0.9686732888221741,2.6145427227020264
102,1669843664.3708944,326400,-0.95030277967453,2.3889193534851074,0.950322687625885,2.5356204509735107,0.9686732888221741,2.6145427227020264
103,1669843666.6924782,329600,-0.95030277967453,2.3889193534851074,0.950322687625885,2.5356204509735107,0.9469016790390015,2.2072958946228027
104,1669843673.3107657,332800,-0.9331647157669067,1.9855172634124756,0.950322687625885,2.5356204509735107,0.9469016790390015,2.2072958946228027
105,1669843673.4243693,336000,-0.9331647157669067,1.9855172634124756,0.9336774349212646,2.045391082763672,0.9469016790390015,2.2072958946228027
106,1669843675.6633794,339200,-0.9331647157669067,1.9855172634124756,0.9336774349212646,2.045391082763672,0.9304137825965881,2.0407893657684326
107,1669843681.8525546,342400,-0.9183821082115173,2.014129638671875,0.9336774349212646,2.045391082763672,0.9304137825965881,2.0407893657684326
108,1669843682.0802584,345600,-0.9183821082115173,2.014129638671875,0.9191473722457886,1.9220796823501587,0.9304137825965881,2.0407893657684326
109,1669843684.1909404,348800,-0.9183821082115173,2.014129638671875,0.9191473722457886,1.9220796823501587,0.9161150455474854,2.0853898525238037
110,1669843690.7238884,352000,-0.9183821082115173,2.014129638671875,0.9018230438232422,2.2070817947387695,0.9161150455474854,2.0853898525238037
111,1669843690.9158483,355200,-0.9014239311218262,1.902722716331482,0.9018230438232422,2.2070817947387695,0.9161150455474854,2.0853898525238037
112,1669843693.2007093,358400,-0.9014239311218262,1.902722716331482,0.9018230438232422,2.2070817947387695,0.8999543786048889,2.1693170070648193
113,1669843699.138321,361600,-0.8888161778450012,1.6315313577651978,0.9018230438232422,2.2070817947387695,0.8999543786048889,2.1693170070648193
114,1669843699.9962394,364800,-0.8888161778450012,1.6315313577651978,0.8887926340103149,1.765216588973999,0.8999543786048889,2.1693170070648193
115,1669843702.278563,368000,-0.8888161778450012,1.6315313577651978,0.8887926340103149,1.765216588973999,0.8913859724998474,1.5070024728775024
116,1669843707.9207118,371200,-0.875095784664154,2.391608476638794,0.8887926340103149,1.765216588973999,0.8913859724998474,1.5070024728775024
117,1669843708.7442663,374400,-0.875095784664154,2.391608476638794,0.8737780451774597,2.3454742431640625,0.8913859724998474,1.5070024728775024
118,1669843711.0933192,377600,-0.875095784664154,2.391608476638794,0.8737780451774597,2.3454742431640625,0.874768078327179,2.6173489093780518
119,1669843716.437831,380800,-0.8663617968559265,2.217275857925415,0.8737780451774597,2.3454742431640625,0.874768078327179,2.6173489093780518
120,1669843718.0888283,384000,-0.8663617968559265,2.217275857925415,0.8642712831497192,2.2975199222564697,0.874768078327179,2.6173489093780518
121,1669843719.4604747,387200,-0.8663617968559265,2.217275857925415,0.8642712831497192,2.2975199222564697,0.8645633459091187,2.2291910648345947
122,1669843725.2515635,390400,-0.8564242720603943,2.2223546504974365,0.8642712831497192,2.2975199222564697,0.8645633459091187,2.2291910648345947
123,1669843726.9207292,393600,-0.8564242720603943,2.2223546504974365,0.8564505577087402,2.046631336212158,0.8645633459091187,2.2291910648345947
124,1669843728.559342,396800,-0.8564242720603943,2.2223546504974365,0.8564505577087402,2.046631336212158,0.8540894985198975,2.1096956729888916
125,1669843733.8747451,400000,-0.8417638540267944,1.8533543348312378,0.8564505577087402,2.046631336212158,0.8540894985198975,2.1096956729888916
126,1669843735.8881028,403200,-0.8417638540267944,1.8533543348312378,0.8402882814407349,2.085500955581665,0.8540894985198975,2.1096956729888916
127,1669843737.060679,406400,-0.8417638540267944,1.8533543348312378,0.8402882814407349,2.085500955581665,0.8416194319725037,2.0621747970581055
128,1669843742.756018,409600,-0.8311362266540527,2.1361043453216553,0.8402882814407349,2.085500955581665,0.8416194319725037,2.0621747970581055
129,1669843744.6894777,412800,-0.8311362266540527,2.1361043453216553,0.827878475189209,1.9835582971572876,0.8416194319725037,2.0621747970581055
130,1669843746.177164,416000,-0.8311362266540527,2.1361043453216553,0.827878475189209,1.9835582971572876,0.8282880187034607,1.7505240440368652
131,1669843751.0819669,419200,-0.8181459307670593,1.6364316940307617,0.827878475189209,1.9835582971572876,0.8282880187034607,1.7505240440368652
132,1669843753.8630288,422400,-0.8181459307670593,1.6364316940307617,0.8145591616630554,1.7719378471374512,0.8282880187034607,1.7505240440368652
133,1669843754.80346,425600,-0.8181459307670593,1.6364316940307617,0.8145591616630554,1.7719378471374512,0.8159964680671692,1.6767055988311768
134,1669843759.8374085,428800,-0.8081451058387756,2.7268776893615723,0.8145591616630554,1.7719378471374512,0.8159964680671692,1.6767055988311768
135,1669843762.4871714,432000,-0.8081451058387756,2.7268776893615723,0.8072105646133423,3.010625123977661,0.8159964680671692,1.6767055988311768
136,1669843763.5164707,435200,-0.8081451058387756,2.7268776893615723,0.8072105646133423,3.010625123977661,0.8086979389190674,3.1596713066101074
137,1669843768.5307868,438400,-0.8020886182785034,2.143810749053955,0.8072105646133423,3.010625123977661,0.8086979389190674,3.1596713066101074
138,1669843771.7433953,441600,-0.8020886182785034,2.143810749053955,0.7992449402809143,2.0230872631073,0.8086979389190674,3.1596713066101074
139,1669843772.5283258,444800,-0.8020886182785034,2.143810749053955,0.7992449402809143,2.0230872631073,0.800285816192627,1.970479965209961
140,1669843777.1350417,448000,-0.7916144132614136,1.795865774154663,0.7992449402809143,2.0230872631073,0.800285816192627,1.970479965209961
141,1669843780.4442563,451200,-0.7916144132614136,1.795865774154663,0.7899894714355469,1.9002478122711182,0.800285816192627,1.970479965209961
142,1669843781.3266938,454400,-0.7916144132614136,1.795865774154663,0.7899894714355469,1.9002478122711182,0.7910237312316895,1.840698480606079
143,1669843785.796301,457600,-0.7871407866477966,2.1948533058166504,0.7899894714355469,1.9002478122711182,0.7910237312316895,1.840698480606079
144,1669843789.535595,460800,-0.7871407866477966,2.1948533058166504,0.7851054072380066,2.2288336753845215,0.7910237312316895,1.840698480606079
145,1669843790.0953932,464000,-0.7871407866477966,2.1948533058166504,0.7851054072380066,2.2288336753845215,0.7866013050079346,2.2960405349731445
146,1669843794.6635256,467200,-0.779776394367218,2.2394323348999023,0.7851054072380066,2.2288336753845215,0.7866013050079346,2.2960405349731445
147,1669843798.512856,470400,-0.779776394367218,2.2394323348999023,0.7780784964561462,2.17901873588562,0.7866013050079346,2.2960405349731445
148,1669843799.1039176,473600,-0.779776394367218,2.2394323348999023,0.7780784964561462,2.17901873588562,0.7806679606437683,2.250805616378784
149,1669843803.3404746,476800,-0.7731568217277527,2.0771267414093018,0.7780784964561462,2.17901873588562,0.7806679606437683,2.250805616378784
150,1669843807.63521,480000,-0.7731568217277527,2.0771267414093018,0.7780784964561462,2.17901873588562,0.7720721364021301,2.4978842735290527
151,1669843807.7029583,483200,-0.7731568217277527,2.0771267414093018,0.7692275047302246,2.613762855529785,0.7720721364021301,2.4978842735290527
152,1669843811.8294108,486400,-0.7646987438201904,2.95967698097229,0.7692275047302246,2.613762855529785,0.7720721364021301,2.4978842735290527
153,1669843816.4124823,489600,-0.7646987438201904,2.95967698097229,0.7692275047302246,2.613762855529785,0.7623188495635986,2.3213860988616943
154,1669843816.624986,492800,-0.7646987438201904,2.95967698097229,0.7597655653953552,2.280853033065796,0.7623188495635986,2.3213860988616943
155,1669843820.3627794,496000,-0.7537596225738525,1.8413323163986206,0.7597655653953552,2.280853033065796,0.7623188495635986,2.3213860988616943
156,1669843825.0968237,499200,-0.7537596225738525,1.8413323163986206,0.7597655653953552,2.280853033065796,0.749732494354248,2.0180299282073975
157,1669843825.4721708,502400,-0.7537596225738525,1.8413323163986206,0.7480838894844055,2.1471774578094482,0.749732494354248,2.0180299282073975
158,1669843829.301195,505600,-0.7418305277824402,2.206181049346924,0.7480838894844055,2.1471774578094482,0.749732494354248,2.0180299282073975
159,1669843834.0969088,508800,-0.7418305277824402,2.206181049346924,0.7480838894844055,2.1471774578094482,0.7402278780937195,2.2181191444396973
160,1669843834.2896783,512000,-0.7418305277824402,2.206181049346924,0.7380925416946411,2.2096967697143555,0.7402278780937195,2.2181191444396973
161,1669843837.939067,515200,-0.734320342540741,1.8010146617889404,0.7380925416946411,2.2096967697143555,0.7402278780937195,2.2181191444396973
162,1669843843.1807263,518400,-0.734320342540741,1.8010146617889404,0.7380925416946411,2.2096967697143555,0.7317931056022644,2.167038917541504
163,1669843843.6516974,521600,-0.734320342540741,1.8010146617889404,0.7298353910446167,2.059818983078003,0.7317931056022644,2.167038917541504
164,1669843846.4949074,524800,-0.7300153970718384,2.6262078285217285,0.7298353910446167,2.059818983078003,0.7317931056022644,2.167038917541504
165,1669843851.6469796,528000,-0.7300153970718384,2.6262078285217285,0.7298353910446167,2.059818983078003,0.7286865711212158,2.0884034633636475
166,1669843852.2500608,531200,-0.7300153970718384,2.6262078285217285,0.7260201573371887,2.014770984649658,0.7286865711212158,2.0884034633636475
167,1669843855.0375066,534400,-0.7227737903594971,1.9665218591690063,0.7260201573371887,2.014770984649658,0.7286865711212158,2.0884034633636475
168,1669843860.6678343,537600,-0.7227737903594971,1.9665218591690063,0.7260201573371887,2.014770984649658,0.7210487127304077,1.8722479343414307
169,1669843861.2721715,540800,-0.7227737903594971,1.9665218591690063,0.7185772061347961,1.9078866243362427,0.7210487127304077,1.8722479343414307
170,1669843863.711125,544000,-0.7162573933601379,1.6062641143798828,0.7185772061347961,1.9078866243362427,0.7210487127304077,1.8722479343414307
171,1669843869.5775163,547200,-0.7162573933601379,1.6062641143798828,0.7185772061347961,1.9078866243362427,0.7139396667480469,2.5811712741851807
172,1669843870.1823664,550400,-0.7162573933601379,1.6062641143798828,0.7109336256980896,2.7363367080688477,0.7139396667480469,2.5811712741851807
173,1669843872.500987,553600,-0.7090418338775635,2.695340633392334,0.7109336256980896,2.7363367080688477,0.7139396667480469,2.5811712741851807
174,1669843878.202789,556800,-0.7090418338775635,2.695340633392334,0.7109336256980896,2.7363367080688477,0.7058472633361816,2.08451771736145
175,1669843879.2821991,560000,-0.7090418338775635,2.695340633392334,0.704499363899231,1.927087664604187,0.7058472633361816,2.08451771736145
176,1669843881.047419,563200,-0.7024757266044617,1.9033217430114746,0.704499363899231,1.927087664604187,0.7058472633361816,2.08451771736145
177,1669843886.9907305,566400,-0.7024757266044617,1.9033217430114746,0.704499363899231,1.927087664604187,0.6996387839317322,2.4608254432678223
178,1669843888.2935693,569600,-0.7024757266044617,1.9033217430114746,0.6966264843940735,2.636064291000366,0.6996387839317322,2.4608254432678223
179,1669843889.4648254,572800,-0.694440484046936,2.5912294387817383,0.6966264843940735,2.636064291000366,0.6996387839317322,2.4608254432678223
180,1669843895.4868977,576000,-0.694440484046936,2.5912294387817383,0.6966264843940735,2.636064291000366,0.6935221552848816,2.048438787460327
181,1669843897.2490618,579200,-0.694440484046936,2.5912294387817383,0.6901359558105469,2.0305540561676025,0.6935221552848816,2.048438787460327
182,1669843898.5806894,582400,-0.688396692276001,2.051787853240967,0.6901359558105469,2.0305540561676025,0.6935221552848816,2.048438787460327
183,1669843904.401083,585600,-0.688396692276001,2.051787853240967,0.6901359558105469,2.0305540561676025,0.6854755282402039,1.774619460105896
184,1669843906.0743182,588800,-0.688396692276001,2.051787853240967,0.6822507977485657,1.7068945169448853,0.6854755282402039,1.774619460105896
185,1669843906.7749896,592000,-0.6813836693763733,1.5633206367492676,0.6822507977485657,1.7068945169448853,0.6854755282402039,1.774619460105896
186,1669843913.0535567,595200,-0.6813836693763733,1.5633206367492676,0.6822507977485657,1.7068945169448853,0.6842246651649475,2.0657081604003906
187,1669843914.8976145,598400,-0.6813836693763733,1.5633206367492676,0.681784451007843,2.2691774368286133,0.6842246651649475,2.0657081604003906
188,1669843915.6551955,601600,-0.679816484451294,2.395418405532837,0.681784451007843,2.2691774368286133,0.6842246651649475,2.0657081604003906
189,1669843922.1457338,604800,-0.679816484451294,2.395418405532837,0.681784451007843,2.2691774368286133,0.6783574223518372,2.0028369426727295
190,1669843923.9545164,608000,-0.679816484451294,2.395418405532837,0.6753484606742859,1.72587251663208,0.6783574223518372,2.0028369426727295
191,1669843924.3746476,611200,-0.6744157075881958,1.6910394430160522,0.6753484606742859,1.72587251663208,0.6783574223518372,2.0028369426727295
192,1669843930.9174912,614400,-0.6744157075881958,1.6910394430160522,0.6753484606742859,1.72587251663208,0.6707929372787476,2.10599946975708
193,1669843932.827277,617600,-0.665743350982666,2.923393487930298,0.6753484606742859,1.72587251663208,0.6707929372787476,2.10599946975708
194,1669843932.9485126,620800,-0.665743350982666,2.923393487930298,0.6668386459350586,2.903670072555542,0.6707929372787476,2.10599946975708
195,1669843939.3636148,624000,-0.665743350982666,2.923393487930298,0.6668386459350586,2.903670072555542,0.6639627814292908,2.612799882888794
196,1669843941.6293814,627200,-0.6598407030105591,1.8128139972686768,0.6668386459350586,2.903670072555542,0.6639627814292908,2.612799882888794
197,1669843941.8681529,630400,-0.6598407030105591,1.8128139972686768,0.6614745855331421,1.847572922706604,0.6639627814292908,2.612799882888794
198,1669843948.5456502,633600,-0.6598407030105591,1.8128139972686768,0.6614745855331421,1.847572922706604,0.6594259738922119,1.7631795406341553
199,1669843950.085813,636800,-0.6559792757034302,1.8042858839035034,0.6614745855331421,1.847572922706604,0.6594259738922119,1.7631795406341553
200,1669843951.0005367,640000,-0.6559792757034302,1.8042858839035034,0.6569710969924927,1.9015710353851318,0.6594259738922119,1.7631795406341553
201,1669843957.6051757,643200,-0.6559792757034302,1.8042858839035034,0.6569710969924927,1.9015710353851318,0.6556904315948486,2.00645112991333
202,1669843958.6642544,646400,-0.6526268124580383,1.9663946628570557,0.6569710969924927,1.9015710353851318,0.6556904315948486,2.00645112991333
203,1669843959.7018695,649600,-0.6526268124580383,1.9663946628570557,0.6524679660797119,1.94921875,0.6556904315948486,2.00645112991333
204,1669843966.056339,652800,-0.6526268124580383,1.9663946628570557,0.6524679660797119,1.94921875,0.6487790942192078,2.048532009124756
205,1669843967.4201746,656000,-0.6450293660163879,2.1648671627044678,0.6524679660797119,1.94921875,0.6487790942192078,2.048532009124756
206,1669843968.7352939,659200,-0.6450293660163879,2.1648671627044678,0.6448078155517578,2.2996981143951416,0.6487790942192078,2.048532009124756
